27.86,27.16,26.86,27.05,28.04,28.31,28.16
17.31,17.59,17.52,17.42,17.58,17.64,17.77
195.75,196.38,196.27,194.76,192.20,191.80,187.10
11.93,12.03,12.01,12.00,12.27,12.49,12.65
28.75,28.98,29.05,29.18,29.13,29.34,29.38
14.43,14.62,14.42,14.36,13.89,13.67,13.64
193.00,192.25,192.18,192.57,194.99,195.32,196.90
146.64,148.45,146.45,148.95,150.86,151.57,151.23
29.05,29.18,29.13,29.34,29.38,29.35,29.13
149.95,150.34,147.19,149.17,149.08,147.23,146.71
55.64,55.59,55.61,55.66,55.30,55.20,54.91
341.65,342.99,341.79,335.23,332.86,341.65,343.74
112.21,111.45,109.96,108.74,108.26,107.80,108.88
108.56,109.64,110.50,112.03,112.61,112.78,111.96
45.22,45.14,45.62,45.96,45.89,46.69,46.78
27.00,26.32,26.20,26.59,26.40,26.82,27.20
97.85,97.40,97.54,96.93,98.01,98.17,98.73
74.51,74.25,73.81,74.17,73.97,74.54,75.01
305.56,311.93,309.12,304.29,296.76,300.80,300.87
47.93,47.60,47.35,46.88,47.77,48.02,47.57
50.60,50.73,50.82,50.37,50.43,50.29,49.46
30.23,30.29,29.80,29.96,30.32,30.33,30.27
21.93,22.16,22.48,22.44,25.41,25.50,25.35
28.78,28.39,28.29,28.06,27.56,27.83,27.63
27.90,28.28,28.25,28.13,28.16,28.00,27.55
19.14,19.05,19.09,19.00,19.14,19.17,19.12
21.47,21.68,21.86,22.02,22.12,22.27,22.32
130.98,133.24,133.74,133.53,132.63,130.09,129.39
133.34,133.00,133.50,133.72,133.51,137.15,137.47
120.21,119.09,119.08,116.25,116.75,116.87,118.56
22.22,22.34,22.36,22.31,22.34,22.13,22.51
35.00,35.30,35.67,35.54,35.94,36.00,35.97
22.51,22.57,22.52,22.46,22.17,22.08,21.99
122.72,119.89,121.27,120.91,122.03,121.02,123.37
133.04,135.39,135.64,136.11,135.62,136.71,134.20
22.13,21.92,21.54,21.48,21.72,21.72,21.84
106.30,106.44,108.42,110.60,113.51,118.44,118.26
113.51,118.44,118.26,118.79,121.20,122.28,123.90
25.58,25.50,25.37,25.30,25.34,25.72,25.90
53.67,53.46,54.86,56.00,57.09,57.29,57.15
137.42,137.83,131.95,132.07,130.59,128.02,131.38
146.57,143.38,142.77,141.11,136.32,134.99,135.47
90.09,89.92,91.83,92.05,92.39,93.49,94.58
79.49,80.09,80.41,80.71,81.09,81.30,81.75
38.34,39.12,39.04,38.46,38.26,38.53,38.72
78.06,77.40,76.97,73.50,76.47,81.90,79.80
15.65,15.51,15.58,15.64,17.98,18.25,18.39
11.29,11.37,11.12,10.74,10.40,10.37,10.02
10.35,10.27,10.34,9.99,10.12,9.88,9.80
100.06,97.54,96.61,95.49,94.98,94.90,92.32
64.88,60.56,62.32,62.21,61.59,61.11,60.28
153.39,151.00,142.62,146.83,146.29,149.96,148.53
437.21,439.90,436.15,434.26,428.09,427.64,419.40
3.98,3.95,4.00,4.03,4.00,3.98,4.00
61.89,62.38,61.50,61.57,62.47,61.85,60.64
268.87,268.83,270.06,281.10,280.00,280.30,271.83
3.30,3.30,3.21,3.16,3.10,3.07,3.07
248.42,265.69,271.52,272.38,266.12,283.20,283.58
242.86,255.88,263.99,260.24,263.92,275.89,274.99
56.42,58.74,58.81,59.72,58.87,58.63,60.65
215.66,216.02,216.84,221.15,222.11,220.98,220.44
202.33,202.57,204.24,204.81,208.66,202.88,199.63
221.49,221.78,216.06,218.74,224.20,211.43,208.69
280.51,278.08,277.09,275.00,272.40,267.75,271.61
184.62,190.38,189.70,190.84,191.49,189.91,190.65
257.99,252.24,255.75,259.60,263.33,266.08,268.33
348.15,353.50,358.98,360.64,372.94,372.78,377.06
171.30,166.33,165.23,160.62,168.25,171.59,172.72
173.12,177.55,177.85,175.01,186.62,189.66,190.36
187.50,186.00,185.90,184.11,183.13,180.50,184.04
20.96,20.80,21.23,21.85,21.46,21.55,21.31
28.09,28.71,30.27,30.10,31.44,33.23,33.25
23.70,23.40,23.50,23.32,24.25,24.58,24.54
160.93,160.99,155.25,148.47,141.26,136.63,128.62
298.83,303.65,302.96,302.00,287.74,288.48,281.25
