15.119,11.984,9.6276,7.8559,6.5196,5.515,4.7577,4.1796,3.7371,3.3993,3.1311,2.9135,2.7301,2.5723,2.4314,2.3063,2.1997,2.1124,2.0427,1.981,1.9296,1.878,1.8323,1.7886,1.7542,1.7175,1.6837,1.6485,1.5908,1.5164,1.4387,1.3574,1.2727,1.1746,1.0797,0.9787,0.8758,0.7661,0.6494,0.5264,0.4189,0.3422,0.2835,0.2441,0.2159,0.1929,0.1837,0.1824,0.1785,0.1619
12.2106,9.4975,7.393,5.7645,4.5035,3.5297,2.7816,2.2113,1.7732,1.4356,1.1718,0.9604,0.7998,0.6927,0.6288,0.5924,0.5761,0.5751,0.577,0.5797,0.5814,0.5795,0.5752,0.5579,0.5339,0.5065,0.474,0.4402,0.4136,0.3893,0.3688,0.3565,0.3408,0.3036,0.2585,0.2053,0.1394,0.0731,0.0173,-0.0235,-0.0563,-0.0657,-0.0612,-0.054,-0.0422,-0.0307,-0.0241,-0.0129,0.0015,0.0125
119.5696,94.0372,74.5849,59.7172,48.3858,39.7376,33.1453,28.0919,24.2239,21.2168,18.8619,16.9609,15.3962,14.0967,12.9748,12.0025,11.1707,10.4061,9.7784,9.2213,8.7532,8.3707,7.9886,7.6379,7.3706,7.1514,6.9434,6.7015,6.4559,6.1628,5.8386,5.4776,5.0899,4.6977,4.3219,3.9456,3.4436,2.8595,2.2072,1.5333,0.9707,0.498,0.1276,-0.1713,-0.402,-0.6223,-0.8401,-0.9219,-0.8564,-0.6577
5.7134,4.603,3.7916,3.2023,2.7762,2.4717,2.2534,2.0916,1.9675,1.8653,1.7796,1.7013,1.6288,1.5603,1.4921,1.4238,1.3564,1.291,1.2256,1.1604,1.0915,1.0163,0.9414,0.871,0.8056,0.7411,0.6784,0.617,0.5619,0.5109,0.4658,0.433,0.4069,0.3854,0.3653,0.3421,0.3134,0.2824,0.2506,0.2155,0.1803,0.151,0.1226,0.0948,0.0655,0.0334,0.0085,-0.0125,-0.0236,-0.0316
20.0211,15.6599,12.2972,9.7029,7.7038,6.1622,4.9811,4.0752,3.3829,2.8495,2.439,2.1197,1.8682,1.6655,1.4992,1.3585,1.243,1.1492,1.0575,0.9643,0.8692,0.7756,0.676,0.5776,0.4756,0.3713,0.2787,0.2012,0.1361,0.0666,0.0019,-0.0697,-0.1338,-0.1748,-0.199,-0.2109,-0.2057,-0.1895,-0.17,-0.1465,-0.1228,-0.1004,-0.0848,-0.0791,-0.0772,-0.0815,-0.0848,-0.0818,-0.0694,-0.0429
6.1043,4.9404,4.1016,3.504,3.0776,2.7754,2.5617,2.4103,2.2908,2.1905,2.101,2.0216,1.942,1.864,1.7758,1.679,1.5637,1.4548,1.3449,1.2445,1.1546,1.0778,1.0084,0.9449,0.8757,0.7978,0.7175,0.6508,0.5964,0.5492,0.5146,0.4929,0.4787,0.4648,0.4479,0.4241,0.4004,0.38,0.3619,0.3406,0.3194,0.3021,0.2905,0.2848,0.2876,0.3024,0.324,0.3464,0.3597,0.3673
124.6049,97.3832,76.4164,60.3103,47.7813,38.042,30.4314,24.4511,19.8147,16.1733,13.2753,10.9381,9.0644,7.5406,6.313,5.2974,4.48,3.7808,3.3292,3.074,2.8663,2.6254,2.3445,2.031,1.6707,1.3166,1.0051,0.7778,0.6297,0.5247,0.534,0.5465,0.538,0.5904,0.8806,1.2596,1.6787,2.098,2.5238,2.8883,3.2502,3.602,3.9619,4.2954,4.5811,4.8308,5.0562,5.2099,5.2162,5.1809
86.1882,68.8212,55.8246,46.0859,38.792,33.4275,29.2662,26.0064,23.3075,21.0919,19.0814,17.1838,15.5118,14.0016,12.7146,11.436,10.1387,8.8858,7.8209,6.8566,5.9951,5.296,4.8385,4.5239,4.2986,4.1781,3.9995,3.8009,3.6429,3.4935,3.2424,2.8266,2.2251,1.5606,0.9477,0.2936,-0.3161,-0.775,-1.1237,-1.3237,-1.3511,-1.2697,-1.2088,-1.1247,-1.0787,-1.0112,-0.8796,-0.6882,-0.4022,-0.0624
20.0427,15.6781,12.3162,9.7258,7.738,6.2117,5.0423,4.1422,3.4497,2.9136,2.4952,2.1639,1.8985,1.6812,1.5064,1.3663,1.2386,1.117,0.9995,0.8881,0.7742,0.6641,0.5525,0.4402,0.3409,0.2576,0.1876,0.1138,0.0452,-0.0298,-0.0969,-0.1406,-0.1675,-0.1817,-0.1785,-0.1643,-0.1467,-0.1249,-0.1027,-0.0819,-0.0676,-0.0631,-0.0624,-0.0678,-0.0721,-0.07,-0.0585,-0.0328,-0.0033,0.0361
100.9189,78.9463,62.0433,49.0515,39.0107,31.1055,24.8339,19.8105,15.7837,12.6177,10.0604,7.9879,6.2732,4.7801,3.5686,2.5961,1.7217,0.9805,0.3349,-0.1233,-0.4304,-0.6154,-0.6592,-0.6157,-0.4938,-0.3076,-0.108,0.0889,0.3237,0.6305,0.9881,1.338,1.7,2.0814,2.3868,2.6468,2.8791,3.1797,3.5672,3.9175,4.2712,4.5386,4.7042,4.788,4.8609,4.8959,4.9346,4.9268,4.8545,4.653
