9,0.6258,0,0.15567,522.09,0,155.67,598.5800,601.3000
9,0.5157,0,0.05133,173.65,0,51.33,210.3700,219.2500
9,0.6258,0,0.15567,522.09,0,155.67,576.1700,632.7600
9,0.6258,0,0.15567,522.09,0,155.67,533.2300,592.7200
9,0.5246,0,0.06692,189.86,0,66.92,250.2900,254.3000
9,0.5222,0,0.11425,185.3,0,114.25,271.3500,290.2900
9,0.5224,0,0.1,185.68,0,100.00,230.4200,235.9700
9,0.5287,0,0.08802,197.66,0,88.02,256.8600,235.4800
10,0.3948,0,0.02572,51.84,0,25.72,71.1200,73.4800
10,0.4298,0,0.05715,73.54,0,57.15,126.2100,130.1300
10,0.4072,0,0.04191,58.65,0,41.91,97.3200,96.6700
10,0.3129,0,0.02267,22.86,0,22.67,45.0300,44.8700
10,0.4072,0,0.04191,58.65,0,41.91,98.6800,95.5800
10,0.5963,0,0.14815,388.73,0,148.15,476.8700,498.3900
10,0.3928,0,0.02952,50.78,0,29.52,73.9400,76.5300
10,0.4521,0,0.05851,91.89,0,58.51,146.7300,147.8100
10,0.4056,0,0.02952,57.73,0,29.52,79.4000,78.5200
10,0.533,0,0.07127,206.34,0,71.27,258.6200,256.4000
