26.84,26.35,26.16,26.67,27.17,27.55,27.20
17.09,17.33,17.16,17.08,17.39,17.33,17.48
193.83,194.34,193.11,191.94,189.58,187.47,184.35
11.69,11.91,11.85,11.89,11.94,12.23,12.38
28.12,28.44,28.75,28.81,28.91,28.94,29.17
13.98,14.22,14.16,13.79,13.61,13.33,12.65
189.10,189.51,190.63,189.91,192.52,193.03,194.87
143.78,145.05,142.12,143.25,148.20,146.70,146.91
28.75,28.81,28.91,28.94,29.17,29.20,28.91
147.16,147.24,145.72,147.45,146.83,145.01,143.90
54.90,54.86,54.57,55.00,54.46,54.21,54.23
334.73,335.50,337.00,327.59,327.00,335.67,339.02
110.91,108.76,106.10,106.64,104.47,103.91,106.80
107.56,108.51,109.79,110.27,111.44,111.52,110.22
44.50,44.57,44.95,45.31,45.43,45.97,46.26
26.62,25.86,25.70,25.98,26.00,26.13,26.69
96.34,96.62,95.83,96.01,96.80,97.20,96.32
73.85,72.92,72.99,73.17,73.31,73.88,74.30
299.95,307.39,300.70,294.22,291.35,297.02,293.68
47.27,47.01,46.82,46.19,46.62,47.39,46.59
50.08,50.30,50.27,49.87,50.11,49.15,48.85
29.63,29.65,29.34,29.48,29.86,29.89,29.91
21.66,21.87,22.12,22.17,24.37,25.01,24.92
28.12,28.05,27.95,27.34,27.19,27.37,27.12
27.61,27.95,27.86,27.84,27.87,27.59,27.01
18.71,18.54,18.81,18.80,18.92,18.78,18.82
21.16,21.37,21.40,21.81,21.87,22.08,22.12
128.32,128.79,130.57,131.78,130.68,127.56,127.42
131.36,131.26,131.57,129.69,131.18,132.43,136.08
118.69,117.33,116.78,112.83,115.41,114.65,117.31
22.02,22.07,22.17,22.04,22.04,21.94,21.99
34.04,34.53,35.04,34.88,34.99,35.60,35.30
21.99,22.30,22.31,22.05,21.95,21.81,21.79
118.99,116.91,117.60,119.21,120.88,119.71,120.06
124.76,131.76,132.83,133.38,133.43,133.43,130.41
21.82,21.60,21.37,21.33,21.36,21.51,21.58
104.70,104.74,105.79,107.72,108.48,114.93,116.55
108.48,114.93,116.55,116.48,116.83,119.46,121.49
25.29,25.10,25.12,25.11,25.03,25.07,25.66
52.76,52.84,53.38,54.92,56.10,56.66,56.29
134.28,130.50,128.77,126.85,126.74,123.66,126.39
142.00,140.78,140.38,137.91,132.85,132.95,132.10
86.97,88.80,89.30,91.07,90.95,92.31,92.72
78.76,78.32,79.42,80.02,80.01,80.65,81.07
37.86,38.10,38.14,38.02,37.70,37.81,38.39
75.80,75.17,72.42,70.75,73.93,78.37,78.05
15.38,15.13,15.19,14.97,17.04,17.50,18.01
10.98,10.88,10.57,10.28,10.07,9.74,9.50
10.02,10.03,10.09,9.85,9.88,9.62,9.68
98.64,96.23,94.53,94.17,92.47,92.20,90.40
62.08,58.06,60.18,60.99,59.85,58.69,58.86
148.83,140.56,138.84,142.27,142.33,140.96,142.41
426.61,426.74,420.80,422.34,420.15,401.00,404.48
3.91,3.92,3.94,3.98,3.93,3.91,3.92
58.56,59.91,58.83,59.49,60.27,59.27,56.92
263.29,262.20,264.33,273.57,272.32,270.00,267.22
3.18,3.17,3.10,3.03,3.04,3.02,3.02
239.06,246.24,259.67,260.72,255.75,259.07,272.71
233.60,238.94,256.68,251.30,253.81,262.37,266.90
51.00,56.67,54.38,54.38,56.26,56.31,57.64
210.66,213.41,212.58,215.69,217.55,217.13,216.21
198.07,198.81,200.96,197.22,198.26,196.25,195.30
219.27,216.11,212.50,213.52,218.45,204.75,201.06
276.28,271.71,269.81,265.20,268.21,260.01,264.78
182.57,183.66,186.90,188.77,183.92,186.75,181.50
248.15,245.62,246.61,254.82,256.90,260.10,264.80
343.40,346.26,352.05,355.36,359.08,362.93,369.54
160.61,160.32,158.49,155.00,157.02,165.46,167.78
169.06,171.87,173.05,171.43,177.05,184.64,184.01
184.85,182.39,183.14,179.91,176.66,178.24,181.01
19.75,20.13,20.53,21.28,21.00,20.85,20.62
26.81,28.11,29.13,29.33,30.22,31.22,31.52
23.06,22.77,22.90,22.82,23.33,24.03,23.97
153.28,150.04,145.82,137.66,135.89,122.26,121.02
287.92,296.50,291.60,287.47,280.70,272.65,271.81
354.00,360.33,366.73,372.67,363.59,352.22,333.40
159.65,163.51,169.19,166.56,166.68,166.79,167.23
94.73,96.29,97.47,97.89,98.48,94.33,92.39
207.93,201.67,206.50,209.51,215.36,204.74,207.52
254.00,258.76,259.12,236.73,206.33,231.39,223.53
245.98,241.31,240.23,243.42,247.32,244.33,245.92
486.13,488.19,495.89,504.47,506.02,506.68,506.53
590.19,579.76,580.74,582.70,599.75,596.25,592.26
210.19,210.30,210.56,216.02,217.70,215.17,217.09
573.68,573.61,584.26,582.18,590.30,586.13,615.75
513.40,524.22,550.07,541.03,532.39,556.00,575.82
248.86,246.06,250.55,252.35,250.46,251.69,250.18
264.08,259.20,264.05,264.27,269.02,267.89,283.50
230.70,228.32,226.36,226.80,222.68,221.98,231.00
247.00,245.24,243.49,237.01,244.86,238.10,234.09
69.95,68.98,70.16,70.03,70.58,70.37,70.90
126.01,127.05,126.36,127.81,128.20,129.30,129.40
97.00,97.39,97.57,97.23,97.22,95.42,95.65
44.59,44.77,44.51,44.34,44.31,44.33,44.44
97.85,96.75,96.75,96.32,96.90,95.54,95.36
468.82,475.50,480.53,484.11,490.63,493.57,491.50
73.03,74.61,74.75,75.62,75.12,75.21,76.00
145.06,146.52,144.52,145.68,147.27,147.54,146.36
78.30,75.63,75.54,77.36,76.39,78.13,78.23
256.37,256.52,261.76,261.50,254.08,256.37,253.84
